,drug,URL
0,Abilify,https://www.drugs.com/abilify.html
1,Abilify Asimtufii,https://www.drugs.com/abilify-asimtufii.html
2,Abilify Maintena,https://www.drugs.com/abilify-maintena.html
3,Abiraterone,https://www.drugs.com/abiraterone.html
4,Acetaminophen,https://www.drugs.com/acetaminophen.html
5,Acetazolamide,https://www.drugs.com/mtm/acetazolamide.html
6,Acetylcysteine,https://www.drugs.com/mtm/acetylcysteine.html
7,Actemra,https://www.drugs.com/actemra.html
8,Acyclovir,https://www.drugs.com/acyclovir.html
9,Adalimumab,https://www.drugs.com/adalimumab.html
10,Adderall,https://www.drugs.com/adderall.html
11,Adderall XR,https://www.drugs.com/mtm/adderall-xr.html
12,Advair Diskus,https://www.drugs.com/mtm/advair-diskus.html
13,Advil,https://www.drugs.com/advil.html
14,Afinitor,https://www.drugs.com/afinitor.html
15,Agamree,https://www.drugs.com/agamree.html
16,Aimovig,https://www.drugs.com/aimovig.html
17,Ajovy,https://www.drugs.com/ajovy.html
18,Albuterol,https://www.drugs.com/albuterol.html
19,Aldactone,https://www.drugs.com/aldactone.html
20,Alecensa,https://www.drugs.com/alecensa.html
21,Alendronate,https://www.drugs.com/mtm/alendronate.html
22,Alfuzosin,https://www.drugs.com/mtm/alfuzosin.html
23,Allopurinol,https://www.drugs.com/allopurinol.html
24,Alprazolam,https://www.drugs.com/alprazolam.html
25,Alprolix,https://www.drugs.com/alprolix.html
26,Alunbrig,https://www.drugs.com/alunbrig.html
27,Amantadine,https://www.drugs.com/amantadine.html
28,Ambien,https://www.drugs.com/ambien.html
29,Ambroxol,https://www.drugs.com/ambroxol.html
30,Aminocaproic acid,https://www.drugs.com/mtm/aminocaproic-acid.html
31,Amiodarone,https://www.drugs.com/amiodarone.html
32,Amitriptyline,https://www.drugs.com/amitriptyline.html
33,Amlodipine,https://www.drugs.com/amlodipine.html
34,Amoxicillin,https://www.drugs.com/amoxicillin.html
35,Amoxicillin and Clavulanate,https://www.drugs.com/amoxicillin_clavulanate.html
36,Anastrozole,https://www.drugs.com/mtm/anastrozole.html
37,AndroGel,https://www.drugs.com/androgel.html
38,Annovera,https://www.drugs.com/annovera.html
39,Apalutamide,https://www.drugs.com/apalutamide.html
40,Apixaban,https://www.drugs.com/mtm/apixaban.html
41,Apokyn,https://www.drugs.com/apokyn.html
42,Apriso,https://www.drugs.com/apriso.html
43,Aptiom,https://www.drugs.com/aptiom.html
44,Aricept,https://www.drugs.com/aricept.html
45,Arikayce,https://www.drugs.com/arikayce.html
46,Arimidex,https://www.drugs.com/arimidex.html
47,Aripiprazole,https://www.drugs.com/aripiprazole.html
48,Aristada,https://www.drugs.com/aristada.html
49,Aromasin,https://www.drugs.com/aromasin.html
50,Ascorbic acid,https://www.drugs.com/mtm/ascorbic-acid.html
51,Aspirin,https://www.drugs.com/aspirin.html
52,Atarax,https://www.drugs.com/atarax.html
53,Atenolol,https://www.drugs.com/atenolol.html
54,Ativan,https://www.drugs.com/ativan.html
55,Atogepant,https://www.drugs.com/atogepant.html
56,Atomoxetine,https://www.drugs.com/atomoxetine.html
57,Atorvastatin,https://www.drugs.com/atorvastatin.html
58,Aubagio,https://www.drugs.com/aubagio.html
59,Augmentin,https://www.drugs.com/augmentin.html
60,Austedo,https://www.drugs.com/austedo.html
61,Auvelity,https://www.drugs.com/auvelity.html
62,Avonex,https://www.drugs.com/avonex.html
63,Avsola,https://www.drugs.com/avsola.html
64,Azathioprine,https://www.drugs.com/mtm/azathioprine.html
65,Azelastine,https://www.drugs.com/pro/azelastine.html
66,Azilect,https://www.drugs.com/azilect.html
67,Azithromycin,https://www.drugs.com/azithromycin.html
68,Azulfidine,https://www.drugs.com/mtm/azulfidine.html
69,About Drugs.com,https://www.drugs.com/support/about.html
70,Advertising policy,https://www.drugs.com/support/advertising.html
71,Attribution & citations,https://www.drugs.com/support/citations.html
